"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,1569.00,"Southwest Airlines Co.","SAT","San Antonio, TX","Texas","EWR","Newark, NJ","New Jersey",
1.00,407.00,"Southwest Airlines Co.","SAT","San Antonio, TX","Texas","OKC","Oklahoma City, OK","Oklahoma",
1.00,325.00,"Southwest Airlines Co.","SDF","Louisville, KY","Kentucky","GRR","Grand Rapids, MI","Michigan",
1.00,699.00,"Southwest Airlines Co.","SDF","Louisville, KY","Kentucky","ISP","Islip, NY","New York",
1.00,685.00,"Southwest Airlines Co.","SDF","Louisville, KY","Kentucky","OKC","Oklahoma City, OK","Oklahoma",
1.00,1906.00,"Southwest Airlines Co.","SEA","Seattle, WA","Washington","CRP","Corpus Christi, TX","Texas",
1.00,2393.00,"Southwest Airlines Co.","SFO","San Francisco, CA","California","TPA","Tampa, FL","Florida",
1.00,2689.00,"Southwest Airlines Co.","SJC","San Jose, CA","California","BOS","Boston, MA","Massachusetts",
1.00,2017.00,"Southwest Airlines Co.","SJC","San Jose, CA","California","CVG","Cincinnati, OH","Kentucky",
1.00,2424.00,"Southwest Airlines Co.","SJC","San Jose, CA","California","DCA","Washington, DC","Virginia",
1.00,1666.00,"Southwest Airlines Co.","SJC","San Jose, CA","California","LIT","Little Rock, AR","Arkansas",
1.00,2454.00,"Southwest Airlines Co.","SJC","San Jose, CA","California","RSW","Fort Myers, FL","Florida",
1.00,2470.00,"Southwest Airlines Co.","SJU","San Juan, PR","Puerto Rico","AMA","Amarillo, TX","Texas",
1.00,3630.00,"Southwest Airlines Co.","SJU","San Juan, PR","Puerto Rico","SFO","San Francisco, CA","California",
1.00,1983.00,"Southwest Airlines Co.","SLC","Salt Lake City, UT","Utah","LGA","New York, NY","New York",
1.00,1156.00,"Southwest Airlines Co.","SLC","Salt Lake City, UT","Utah","LIT","Little Rock, AR","Arkansas",
1.00,1370.00,"Southwest Airlines Co.","SMF","Sacramento, CA","California","OMA","Omaha, NE","Nebraska",
1.00,928.00,"Southwest Airlines Co.","SNA","Santa Ana, CA","California","AMA","Amarillo, TX","Texas",
1.00,1581.00,"Southwest Airlines Co.","STL","St. Louis, MO","Missouri","LGB","Long Beach, CA","California",
1.00,867.00,"Compass Airlines","SEA","Seattle, WA","Washington","LAS","Las Vegas, NV","Nevada",
1.00,225.00,"Grant Aviation","MYU","Mekoryuk, AK","Alaska","TOG","Togiak, AK","Alaska",
1.00,44.00,"Grant Aviation","NME","Nightmute, AK","Alaska","KPN","Kipnuk, AK","Alaska",
1.00,56.00,"Grant Aviation","OOK","Toksook, AK","Alaska","KPN","Kipnuk, AK","Alaska",
1.00,6.00,"Grant Aviation","OOK","Toksook, AK","Alaska","TNK","Tununak, AK","Alaska",
1.00,76.00,"Grant Aviation","PQS","Pilot Station, AK","Alaska","EMK","Emmonak, AK","Alaska",
1.00,49.00,"Grant Aviation","PTH","Port Heiden, AK","Alaska","KCQ","Chignik, AK","Alaska",
1.00,20.00,"Grant Aviation","TNK","Tununak, AK","Alaska","NME","Nightmute, AK","Alaska",
1.00,6.00,"Grant Aviation","TNK","Tununak, AK","Alaska","OOK","Toksook, AK","Alaska",
1.00,8.00,"Grant Aviation","UGS","Ugashik, AK","Alaska","PIP","Pilot Point, AK","Alaska",
1.00,13.00,"Grant Aviation","WSN","South Naknek, AK","Alaska","AKN","King Salmon, AK","Alaska",
1.00,73.00,"Grant Aviation","WWT","Newtok, AK","Alaska","KPN","Kipnuk, AK","Alaska",
